USERID,MOVIEID
1,968
1,1591
1,2020
1,2138
1,2167
1,2287
1,2467
1,2867
1,3153
1,3262
5,62
5,236
5,25
5,780
5,47
5,377
5,454
5,14
5,494
5,1073
7,288
7,475
7,8132
7,54286
7,54997
7,541
7,1090
7,48394
7,55820
7,58559
15,899
15,2078
15,88125
15,142488
15,2288
15,8376
15,55363
15,96079
15,104879
15,175303
17,1199
17,6
17,778
17,44199
17,122924
17,4878
17,364
17,588
17,1682
17,2078
18,968
18,1232
18,1250
18,1253
18,1272
18,1333
18,1979
18,2010
18,2288
18,2302
19,3200
19,3404
19,2948
19,187
19,337
19,633
19,1090
19,1358
19,1962
19,2007
21,2394
21,85367
21,115122
21,164367
21,93838
21,96610
21,1080
21,1201
21,1219
21,3535
27,3035
27,3153
27,3066
27,955
27,1212
27,1243
27,1248
27,1284
27,2067
27,2202
31,800
31,838
31,86
31,1101
31,593
31,805
31,14
31,36
31,661
31,647
32,800
32,838
32,11
32,589
32,924
32,9
32,112
32,737
32,762
32,805
33,745
33,1066
33,1223
33,1680
33,2563
33,5991
33,720
33,85
33,99
33,148
40,10
40,349
40,15
40,195
40,333
40,246
40,497
40,47
40,50
40,249
43,104
43,216
43,248
43,255
43,267
43,328
43,370
43,383
43,516
43,673
44,88
44,467
44,647
44,765
44,782
44,879
44,886
44,1042
44,1047
44,1049
45,2490
45,7373
45,7439
45,31696
45,51662
45,288
45,58
45,7387
45,58559
45,60069
46,47
46,377
46,356
46,500
46,410
46,296
46,21
46,337
46,34
46,480
50,953
50,1035
50,1073
50,1282
50,2174
50,2640
50,2761
50,2788
50,3499
50,6936
54,357
54,527
54,171
54,34
54,2
54,471
54,141
54,292
54,434
54,11
57,1104
57,1178
57,1238
57,1258
57,1934
57,2078
57,2203
57,2550
57,2901
57,3152
63,741
63,1274
63,5225
63,68237
63,72226
63,163
63,3527
63,64839
63,333
63,1753
64,101
64,348
64,1962
64,3618
64,3677
64,3814
64,4649
64,6993
64,33162
64,44761
66,48738
66,58559
66,60069
66,61240
66,68157
66,71535
66,79702
66,1219
66,7387
66,1129
68,94
68,151
68,290
68,322
68,417
68,475
68,497
68,524
68,599
68,720
71,593
71,858
71,661
71,36
71,58
71,800
71,838
71,6
71,141
71,805
73,47
73,34405
73,96610
73,32
73,110
73,1201
73,8950
73,48516
73,86882
73,88129
76,741
76,1274
76,1527
76,2716
76,3000
76,5225
76,68237
76,69481
76,72226
76,8950
78,4973
78,1221
78,56174
78,63082
78,858
78,912
78,1193
78,1196
78,2329
78,58559
82,1267
82,1287
82,4846
82,7439
82,527
82,1408
82,2797
82,3897
82,5956
82,33162
86,2194
86,6333
86,33166
86,5816
86,4973
86,8784
86,4878
86,50
86,364
86,899
89,160271
89,80139
89,98083
89,104925
89,128914
89,162344
89,103883
89,40581
89,55245
89,110771
90,800
90,838
90,783
90,593
90,94
90,457
90,671
90,1059
90,648
90,661
91,58559
91,60069
91,61240
91,68157
91,71535
91,79702
91,562
91,5013
91,6460
91,2490
93,954
93,1079
93,1207
93,1242
93,1385
93,1407
93,1466
93,1610
93,1686
93,1726
96,47
96,356
96,1127
96,1197
96,1206
96,1376
96,1391
96,1573
96,1584
96,1653
98,166024
98,170705
98,908
98,1262
98,2019
98,2355
98,5971
98,67255
98,70286
98,80463
103,1080
103,2788
103,6807
103,2398
103,2641
103,115149
103,899
103,904
103,115617
103,898
107,50
107,32
107,595
107,588
107,457
107,34
107,364
107,480
107,589
107,236
112,1246
112,5816
112,8368
112,40815
112,54001
112,56367
112,87234
112,96821
112,106642
112,117192
119,899
119,1197
119,177593
119,32
119,47
119,110
119,4226
119,8950
119,96821
119,106100
121,7
121,218
121,222
121,249
121,277
121,280
121,293
121,362
121,529
121,543
124,1201
124,1206
124,1240
124,1732
124,5618
124,6350
124,7099
124,2194
124,3578
124,4306
130,50
130,39
130,47
130,364
130,367
130,377
130,454
130,593
130,356
130,32
132,918
132,971
132,27803
132,81591
132,89118
132,89864
132,105
132,342
132,938
132,952
134,10
134,282
134,60
134,158
134,203
134,237
134,257
134,261
134,440
134,508
135,337
135,69
135,1616
135,1620
135,1641
135,1687
135,1801
135,2126
135,2338
135,2490
137,6333
137,41
137,906
137,965
137,1094
137,1151
137,1224
137,1573
137,1631
137,1696
140,940
140,1219
140,1253
140,1283
140,1203
140,1258
140,3677
140,3814
140,6993
140,111
141,741
141,1274
141,5225
141,68237
141,72226
141,899
141,88125
141,115149
141,142488
141,4034
144,1358
144,1784
144,1968
144,50
144,58
144,551
144,553
144,555
144,1259
144,2324
145,39
145,47
145,364
145,367
145,454
145,457
145,377
145,225
145,32
145,266
151,76
151,88
151,467
151,647
151,762
151,782
151,805
151,886
151,891
151,1042
153,2160
153,2712
153,6287
153,6763
153,7173
153,55820
153,87869
153,104879
153,116897
153,104374
155,487
155,553
155,1208
155,1222
155,1266
155,1304
155,1566
155,1907
155,2423
155,2921
156,283
156,373
156,951
156,954
156,1095
156,1123
156,1187
156,1571
156,2069
156,2323
159,47423
159,51931
159,112804
159,55247
159,4973
159,89904
159,7458
159,91529
159,92259
159,8869
160,101
160,968
160,1235
160,1285
160,1449
160,2116
160,3262
160,3771
160,4006
160,4180
161,910
161,1207
161,3088
161,3451
161,4703
161,4973
161,6385
161,1907
161,2394
161,2709
166,741
166,1274
166,5225
166,68237
166,69481
166,70286
166,72226
166,1208
166,2502
166,4223
167,58
167,553
167,555
167,1358
167,7387
167,61240
167,79702
167,4226
167,741
167,1274
169,236
169,1046
169,3949
169,4787
169,5618
169,30749
169,47099
169,53894
169,71057
169,72226
171,1172
171,1215
171,1261
171,1357
171,1366
171,1411
171,1358
171,1732
171,1784
171,1923
177,2249
177,55118
177,67618
177,74946
177,441
177,2491
177,6502
177,6944
177,7360
177,8132
178,1258
178,3949
178,32587
178,6333
178,2194
178,48780
178,55820
178,260
178,293
178,904
179,14
179,36
179,515
179,1073
179,539
179,588
179,2
179,10
179,39
179,11
182,1230
182,1962
182,3677
182,3814
182,6993
182,953
182,1589
182,2134
182,2716
182,3034
185,8950
185,51662
185,54001
185,115149
185,115713
185,139385
185,142488
185,5618
185,48
185,661
186,101
186,1449
186,1591
186,2020
186,2167
186,2287
186,2467
186,2867
186,3153
186,3262
191,14
191,260
191,373
191,475
191,508
191,527
191,589
191,593
191,163
191,350
193,6
193,44199
193,6333
193,164179
193,1201
193,1732
193,6350
193,7099
193,33166
193,50
200,2249
200,8968
200,54881
200,55118
200,64969
200,66934
200,67618
200,69069
200,70183
200,71535
201,58
201,553
201,6874
201,7387
201,7438
201,8874
201,58559
201,60069
201,61240
201,68157
202,1104
202,1178
202,1238
202,1333
202,1934
202,2203
202,2550
202,3152
202,3201
202,3683
206,112
206,708
206,593
206,376
206,494
206,628
206,832
206,858
206,52
206,135
213,86882
213,93838
213,94959
213,96821
213,102123
213,104841
213,104879
213,106100
213,106782
213,106920
214,832
214,260
214,800
214,838
214,805
214,593
214,14
214,36
214,783
214,94
216,154
216,417
216,947
216,1217
216,1251
216,1596
216,1836
216,2019
216,2130
216,2131
217,1194
